timestamp	rss_bytes	free_percent	memorystatus_percent	swap_bytes	swap_growth_bytes	crossing
2026-08-26T16:29:23Z	2399600640	19	19	7337609789	5159591608	0
2026-08-26T16:29:25Z	2439184384	21	21	7320832573	5142814392	0
2026-08-26T16:29:28Z	1724661760	25	25	7304055357	5126037176	0
2026-08-26T16:29:30Z	1883979776	18	18	7389902275	5211884094	0
2026-08-26T16:29:32Z	2071609344	18	18	7356347843	5178329662	0
2026-08-26T16:29:34Z	2184757248	18	18	7331182019	5153163838	0
2026-08-26T16:29:36Z	2292989952	19	19	7331182019	5153163838	0
2026-08-26T16:29:38Z	2427305984	19	19	7331182019	5153163838	0
2026-08-26T16:29:40Z	2217230336	19	19	7322793411	5144775230	0
2026-08-26T16:29:42Z	1828470784	18	18	7306016195	5127998014	0
2026-08-26T16:29:44Z	1916272640	18	18	7222130115	5044111934	0
2026-08-26T16:29:46Z	2033696768	18	18	7222130115	5044111934	0
2026-08-26T16:29:48Z	1580875776	16	16	7222130115	5044111934	0
2026-08-26T16:29:50Z	1617231872	16	16	7222130115	5044111934	0
2026-08-26T16:29:52Z	1765507072	17	17	7222130115	5044111934	0
2026-08-26T16:29:54Z	1936031744	18	18	7222130115	5044111934	0
2026-08-26T16:29:57Z	413548544	36	36	7693339197	5515321016	0
