sample	observed_at	listener_count	command_sha256	owner_label_sha256	health_status	models_status	model_alias
26	2026-08-29T17:44:19Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
27	2026-08-29T17:44:21Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
28	2026-08-29T17:44:22Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
29	2026-08-29T17:44:23Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
30	2026-08-29T17:44:25Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
31	2026-08-29T17:44:26Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
32	2026-08-29T17:44:27Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
33	2026-08-29T17:44:29Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
34	2026-08-29T17:44:30Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
35	2026-08-29T17:44:31Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
36	2026-08-29T17:44:32Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
37	2026-08-29T17:44:34Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
38	2026-08-29T17:44:35Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
39	2026-08-29T17:44:36Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
40	2026-08-29T17:44:37Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
41	2026-08-29T17:44:38Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
42	2026-08-29T17:44:40Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
43	2026-08-29T17:44:41Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
44	2026-08-29T17:44:42Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
45	2026-08-29T17:44:43Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
46	2026-08-29T17:44:44Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
47	2026-08-29T17:44:45Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
48	2026-08-29T17:44:47Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
49	2026-08-29T17:44:48Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
50	2026-08-29T17:44:49Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
51	2026-08-29T17:44:50Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
52	2026-08-29T17:44:52Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
53	2026-08-29T17:44:53Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
54	2026-08-29T17:44:54Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
55	2026-08-29T17:44:55Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
56	2026-08-29T17:44:57Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
57	2026-08-29T17:44:58Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
58	2026-08-29T17:44:59Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
59	2026-08-29T17:45:00Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
