n,coverage_at_n,realized_at_n,verifier_success,duplicate_work_rate,failed_subagent_rate,coverage_naive_arm,injection_contained_fak,injection_contained_naive,matched_budget_single_coverage,matched_budget_single_calls,cost_calls,cost_cross_uplift,cost_tax_clawed_back,cost_parallel_speedup
1,0.0833,0.0833,1.0,0.0,0.0,0.0833,1.0,1.0,0.25,8,8,0,0.0,1.0
2,0.1667,0.1667,1.0,0.0,0.0,0.0833,1.0,1.0,0.4167,12,12,0,0.4181,1.667
4,0.25,0.1667,1.0,0.25,0.0,0.25,1.0,0.0,0.5,20,20,2,0.5483,3.0
8,0.4167,0.3333,1.0,0.375,0.0,0.3333,1.0,0.0,0.6667,36,36,4,0.5876,5.667
16,0.5833,0.5,1.0,0.5333,0.0,0.5,1.0,0.0,0.8333,68,68,12,0.6036,11.0
64,0.9167,0.6667,1.0,0.8226,0.0312,0.9167,1.0,0.0,1.0,260,260,58,0.6143,29.0
256,1.0,0.5833,0.875,0.952,0.0234,1.0,1.0,0.0,1.0,1028,1028,251,0.6169,57.667
